counter,red_count,green_count,blue_count,total_count,red_value,green_value,blue_value,total_value
76,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0
253,0,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0
256,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0,0
258,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0
273,1,0,0,1,5,0,0,5
274,1,0,0,1,5,0,0,5
275,1,0,0,1,5,0,0,5
276,1,0,0,1,5,0,0,5
277,1,0,0,1,5,0,0,5
278,1,0,0,1,5,0,0,5
279,1,0,0,1,5,0,0,5
280,1,0,0,1,5,0,0,5
281,1,0,0,1,5,0,0,5
282,1,0,0,1,5,0,0,5
283,1,0,0,1,5,0,0,5
284,1,0,0,1,5,0,0,5
285,1,0,0,1,5,0,0,5
286,1,0,0,1,5,0,0,5
287,1,0,0,1,5,0,0,5
288,1,0,0,1,5,0,0,5
289,1,0,0,1,5,0,0,5
290,1,0,0,1,5,0,0,5
291,1,0,0,1,5,0,0,5
292,1,0,0,1,5,0,0,5
293,1,0,0,1,5,0,0,5
294,1,0,0,1,5,0,0,5
295,1,0,0,1,5,0,0,5
296,1,0,0,1,5,0,0,5
297,1,0,0,1,5,0,0,5
298,1,0,0,1,5,0,0,5
299,1,0,0,1,5,0,0,5
300,1,0,0,1,5,0,0,5
301,1,0,0,1,5,0,0,5
302,1,0,0,1,5,0,0,5
303,1,0,0,1,5,0,0,5
304,1,0,0,1,5,0,0,5
305,1,0,0,1,5,0,0,5
306,1,0,0,1,5,0,0,5
307,1,0,0,1,5,0,0,5
308,1,0,0,1,5,0,0,5
309,1,0,0,1,5,0,0,5
310,1,0,0,1,5,0,0,5
311,1,0,0,1,5,0,0,5
312,1,0,0,1,5,0,0,5
313,1,0,0,1,5,0,0,5
314,1,0,0,1,5,0,0,5
315,1,0,0,1,5,0,0,5
316,1,0,0,1,5,0,0,5
317,1,0,0,1,5,0,0,5
318,1,0,0,1,5,0,0,5
319,1,0,0,1,5,0,0,5
320,1,0,0,1,5,0,0,5
321,1,0,0,1,5,0,0,5
322,1,0,0,1,5,0,0,5
323,1,0,0,1,5,0,0,5
324,1,0,0,1,5,0,0,5
325,1,0,0,1,5,0,0,5
326,1,0,0,1,5,0,0,5
327,1,0,0,1,5,0,0,5
328,1,0,0,1,5,0,0,5
329,1,0,0,1,5,0,0,5
330,1,0,0,1,5,0,0,5
331,1,0,0,1,5,0,0,5
332,1,0,0,1,5,0,0,5
333,1,0,0,1,5,0,0,5
334,1,0,0,1,5,0,0,5
335,1,0,0,1,5,0,0,5
336,1,0,0,1,5,0,0,5
337,1,0,0,1,5,0,0,5
338,1,0,0,1,5,0,0,5
339,1,0,0,1,5,0,0,5
340,1,0,0,1,5,0,0,5
341,1,0,0,1,5,0,0,5
342,1,0,0,1,5,0,0,5
343,1,0,0,1,5,0,0,5
344,1,0,0,1,5,0,0,5
345,1,0,0,1,5,0,0,5
346,1,0,0,1,5,0,0,5
347,1,0,0,1,5,0,0,5
348,1,0,0,1,5,0,0,5
349,1,0,0,1,5,0,0,5
350,1,0,0,1,5,0,0,5
351,1,0,0,1,5,0,0,5
352,1,0,0,1,5,0,0,5
353,1,0,0,1,5,0,0,5
354,1,0,0,1,5,0,0,5
355,1,0,0,1,5,0,0,5
356,1,0,0,1,5,0,0,5
357,1,0,0,1,5,0,0,5
358,1,0,0,1,5,0,0,5
359,1,0,0,1,5,0,0,5
360,1,0,0,1,5,0,0,5
361,1,0,0,1,5,0,0,5
362,1,0,0,1,5,0,0,5
363,1,0,0,1,5,0,0,5
364,1,0,0,1,5,0,0,5
365,1,0,0,1,5,0,0,5
366,1,0,0,1,5,0,0,5
367,1,0,0,1,5,0,0,5
368,1,0,0,1,5,0,0,5
369,1,0,0,1,5,0,0,5
370,1,0,0,1,5,0,0,5
371,1,0,0,1,5,0,0,5
372,1,0,0,1,5,0,0,5
373,1,0,0,1,5,0,0,5
374,1,0,0,1,5,0,0,5
375,1,0,1,2,5,0,15,20
376,1,0,1,2,5,0,15,20
377,1,0,1,2,5,0,15,20
378,1,0,1,2,5,0,15,20
379,1,0,1,2,5,0,15,20
380,1,0,1,2,5,0,15,20
381,1,0,1,2,5,0,15,20
382,1,0,1,2,5,0,15,20
383,1,0,1,2,5,0,15,20
384,1,0,1,2,5,0,15,20
385,1,0,1,2,5,0,15,20
386,1,0,1,2,5,0,15,20
387,1,0,1,2,5,0,15,20
388,1,0,1,2,5,0,15,20
389,1,0,1,2,5,0,15,20
390,1,0,1,2,5,0,15,20
391,1,0,1,2,5,0,15,20
392,1,0,1,2,5,0,15,20
393,1,0,1,2,5,0,15,20
394,1,0,1,2,5,0,15,20
395,1,0,1,2,5,0,15,20
396,1,0,1,2,5,0,15,20
397,1,0,1,2,5,0,15,20
398,1,0,1,2,5,0,15,20
399,1,0,1,2,5,0,15,20
400,1,0,1,2,5,0,15,20
401,1,0,1,2,5,0,15,20
402,1,0,1,2,5,0,15,20
403,1,0,1,2,5,0,15,20
404,1,0,1,2,5,0,15,20
405,1,0,1,2,5,0,15,20
406,1,0,1,2,5,0,15,20
407,1,0,1,2,5,0,15,20
408,1,0,1,2,5,0,15,20
409,1,0,1,2,5,0,15,20
410,1,0,1,2,5,0,15,20
411,1,0,1,2,5,0,15,20
412,1,0,1,2,5,0,15,20
413,1,0,1,2,5,0,15,20
414,1,0,1,2,5,0,15,20
415,1,0,1,2,5,0,15,20
416,1,0,1,2,5,0,15,20
417,1,0,1,2,5,0,15,20
418,1,0,1,2,5,0,15,20
419,1,0,1,2,5,0,15,20
420,1,0,1,2,5,0,15,20
421,1,0,1,2,5,0,15,20
422,1,0,1,2,5,0,15,20
423,1,0,1,2,5,0,15,20
424,1,0,1,2,5,0,15,20
425,1,0,1,2,5,0,15,20
426,1,0,1,2,5,0,15,20
427,1,0,1,2,5,0,15,20
428,1,0,1,2,5,0,15,20
429,1,0,1,2,5,0,15,20
430,1,0,1,2,5,0,15,20
431,1,0,1,2,5,0,15,20
432,1,0,1,2,5,0,15,20
433,1,0,1,2,5,0,15,20
434,1,0,1,2,5,0,15,20
435,1,0,1,2,5,0,15,20
436,1,0,1,2,5,0,15,20
437,1,0,1,2,5,0,15,20
438,1,0,1,2,5,0,15,20
439,1,0,1,2,5,0,15,20
440,1,0,1,2,5,0,15,20
441,1,0,1,2,5,0,15,20
442,1,0,1,2,5,0,15,20
443,1,0,1,2,5,0,15,20
444,1,0,1,2,5,0,15,20
445,1,0,1,2,5,0,15,20
446,1,0,1,2,5,0,15,20
447,1,0,1,2,5,0,15,20
448,1,0,1,2,5,0,15,20
449,1,0,1,2,5,0,15,20
450,1,0,1,2,5,0,15,20
451,1,0,1,2,5,0,15,20
452,1,0,1,2,5,0,15,20
453,1,0,1,2,5,0,15,20
454,1,0,1,2,5,0,15,20
455,1,0,1,2,5,0,15,20
456,1,0,1,2,5,0,15,20
457,1,0,1,2,5,0,15,20
458,1,0,1,2,5,0,15,20
459,1,0,1,2,5,0,15,20
460,1,0,1,2,5,0,15,20
461,1,0,1,2,5,0,15,20
462,1,0,1,2,5,0,15,20
463,1,0,1,2,5,0,15,20
464,1,0,1,2,5,0,15,20
465,1,0,1,2,5,0,15,20
466,1,0,1,2,5,0,15,20
467,1,0,1,2,5,0,15,20
468,1,0,1,2,5,0,15,20
469,1,0,1,2,5,0,15,20
470,1,0,1,2,5,0,15,20
471,1,0,1,2,5,0,15,20
472,1,0,1,2,5,0,15,20
473,1,0,1,2,5,0,15,20
474,1,0,1,2,5,0,15,20
475,1,0,1,2,5,0,15,20
476,1,0,1,2,5,0,15,20
477,1,0,1,2,5,0,15,20
478,1,0,1,2,5,0,15,20
479,1,0,1,2,5,0,15,20
480,1,0,1,2,5,0,15,20
481,1,0,1,2,5,0,15,20
482,1,0,1,2,5,0,15,20
483,1,0,1,2,5,0,15,20
484,1,0,1,2,5,0,15,20
485,1,0,1,2,5,0,15,20
486,1,0,1,2,5,0,15,20
487,1,0,1,2,5,0,15,20
488,1,0,1,2,5,0,15,20
489,1,0,1,2,5,0,15,20
490,1,0,1,2,5,0,15,20
491,1,0,1,2,5,0,15,20
492,1,0,1,2,5,0,15,20
493,1,0,1,2,5,0,15,20
494,1,0,1,2,5,0,15,20
495,1,0,1,2,5,0,15,20
496,1,0,1,2,5,0,15,20
497,1,0,1,2,5,0,15,20
498,1,0,1,2,5,0,15,20
499,1,0,1,2,5,0,15,20
500,1,0,1,2,5,0,15,20
501,1,0,1,2,5,0,15,20
502,1,0,1,2,5,0,15,20
503,1,0,1,2,5,0,15,20
504,1,0,1,2,5,0,15,20
505,1,0,1,2,5,0,15,20
506,1,0,1,2,5,0,15,20
507,1,0,1,2,5,0,15,20
508,1,0,1,2,5,0,15,20
509,1,0,1,2,5,0,15,20
510,1,0,1,2,5,0,15,20
511,1,0,1,2,5,0,15,20
512,1,0,1,2,5,0,15,20
513,1,0,1,2,5,0,15,20
514,1,0,1,2,5,0,15,20
515,1,0,1,2,5,0,15,20
516,1,0,1,2,5,0,15,20
517,1,0,1,2,5,0,15,20
518,1,0,1,2,5,0,15,20
519,1,0,1,2,5,0,15,20
520,1,0,1,2,5,0,15,20
521,1,0,1,2,5,0,15,20
522,1,0,1,2,5,0,15,20
523,1,0,1,2,5,0,15,20
524,1,0,1,2,5,0,15,20
525,1,0,1,2,5,0,15,20
526,1,0,1,2,5,0,15,20
527,1,0,1,2,5,0,15,20
528,1,0,1,2,5,0,15,20
529,1,0,1,2,5,0,15,20
530,1,0,1,2,5,0,15,20
531,1,0,1,2,5,0,15,20
532,1,0,1,2,5,0,15,20
533,1,0,1,2,5,0,15,20
534,1,0,1,2,5,0,15,20
535,1,0,1,2,5,0,15,20
536,1,0,1,2,5,0,15,20
537,1,0,1,2,5,0,15,20
538,1,0,1,2,5,0,15,20
539,1,0,1,2,5,0,15,20
540,1,0,1,2,5,0,15,20
541,1,0,1,2,5,0,15,20
542,1,0,1,2,5,0,15,20
543,1,0,1,2,5,0,15,20
544,1,0,1,2,5,0,15,20
545,1,0,1,2,5,0,15,20
546,1,0,1,2,5,0,15,20
547,1,0,1,2,5,0,15,20
548,1,0,1,2,5,0,15,20
549,1,0,1,2,5,0,15,20
550,1,0,1,2,5,0,15,20
551,1,0,1,2,5,0,15,20
552,1,0,1,2,5,0,15,20
553,1,0,1,2,5,0,15,20
554,1,0,1,2,5,0,15,20
555,1,0,1,2,5,0,15,20
556,1,0,1,2,5,0,15,20
557,1,0,1,2,5,0,15,20
558,1,0,1,2,5,0,15,20
559,1,0,1,2,5,0,15,20
560,1,0,1,2,5,0,15,20
561,1,0,1,2,5,0,15,20
562,1,0,1,2,5,0,15,20
563,1,0,1,2,5,0,15,20
564,1,0,1,2,5,0,15,20
565,1,0,1,2,5,0,15,20
566,1,0,1,2,5,0,15,20
567,1,0,1,2,5,0,15,20
568,1,0,1,2,5,0,15,20
569,1,0,1,2,5,0,15,20
570,1,0,1,2,5,0,15,20
571,1,0,1,2,5,0,15,20
572,1,0,1,2,5,0,15,20
573,1,0,1,2,5,0,15,20
574,1,0,1,2,5,0,15,20
575,1,0,1,2,5,0,15,20
576,1,0,1,2,5,0,15,20
577,1,0,1,2,5,0,15,20
578,1,0,1,2,5,0,15,20
579,1,0,1,2,5,0,15,20
580,1,0,1,2,5,0,15,20
581,1,0,1,2,5,0,15,20
582,1,0,1,2,5,0,15,20
583,1,0,1,2,5,0,15,20
584,1,0,1,2,5,0,15,20
585,1,0,1,2,5,0,15,20
586,1,0,1,2,5,0,15,20
587,1,0,1,2,5,0,15,20
588,1,0,1,2,5,0,15,20
589,1,0,1,2,5,0,15,20
590,1,0,1,2,5,0,15,20
591,1,0,1,2,5,0,15,20
592,1,0,1,2,5,0,15,20
593,1,0,1,2,5,0,15,20
594,1,0,1,2,5,0,15,20
595,1,0,1,2,5,0,15,20
596,1,0,1,2,5,0,15,20
597,1,0,1,2,5,0,15,20
598,1,0,1,2,5,0,15,20
599,1,0,1,2,5,0,15,20
600,1,0,1,2,5,0,15,20
601,1,0,1,2,5,0,15,20
602,1,0,1,2,5,0,15,20
603,1,0,1,2,5,0,15,20
604,1,0,1,2,5,0,15,20
605,1,0,1,2,5,0,15,20
606,1,0,1,2,5,0,15,20
607,1,0,1,2,5,0,15,20
608,1,0,1,2,5,0,15,20
609,1,0,1,2,5,0,15,20
610,1,0,1,2,5,0,15,20
611,1,0,1,2,5,0,15,20
612,1,0,1,2,5,0,15,20
613,1,0,1,2,5,0,15,20
614,1,0,1,2,5,0,15,20
615,1,0,1,2,5,0,15,20
616,1,0,1,2,5,0,15,20
617,1,0,1,2,5,0,15,20
618,1,0,1,2,5,0,15,20
619,1,0,1,2,5,0,15,20
620,1,0,1,2,5,0,15,20
621,1,0,1,2,5,0,15,20
622,1,0,1,2,5,0,15,20
623,1,0,1,2,5,0,15,20
624,1,0,1,2,5,0,15,20
625,1,0,1,2,5,0,15,20
626,1,0,1,2,5,0,15,20
627,1,0,1,2,5,0,15,20
628,1,0,1,2,5,0,15,20
629,1,0,1,2,5,0,15,20
630,1,0,1,2,5,0,15,20
631,1,0,1,2,5,0,15,20
632,1,0,1,2,5,0,15,20
633,1,0,1,2,5,0,15,20
634,1,0,1,2,5,0,15,20
635,1,0,1,2,5,0,15,20
636,1,0,1,2,5,0,15,20
637,1,0,1,2,5,0,15,20
638,1,0,1,2,5,0,15,20
639,1,0,1,2,5,0,15,20
640,1,0,1,2,5,0,15,20
641,1,0,1,2,5,0,15,20
642,1,0,1,2,5,0,15,20
643,1,0,1,2,5,0,15,20
644,1,0,1,2,5,0,15,20
645,1,0,1,2,5,0,15,20
646,1,0,1,2,5,0,15,20
647,1,0,1,2,5,0,15,20
648,1,0,1,2,5,0,15,20
649,1,0,1,2,5,0,15,20
650,1,0,1,2,5,0,15,20
651,1,0,1,2,5,0,15,20
652,1,0,1,2,5,0,15,20
653,1,0,1,2,5,0,15,20
654,1,0,1,2,5,0,15,20
655,1,0,1,2,5,0,15,20
656,1,0,1,2,5,0,15,20
657,1,0,1,2,5,0,15,20
658,1,0,1,2,5,0,15,20
659,1,0,1,2,5,0,15,20
660,1,0,1,2,5,0,15,20
661,1,0,1,2,5,0,15,20
662,1,0,1,2,5,0,15,20
663,1,0,1,2,5,0,15,20
664,1,0,1,2,5,0,15,20
665,1,0,1,2,5,0,15,20
666,1,0,1,2,5,0,15,20
667,1,0,1,2,5,0,15,20
668,1,0,1,2,5,0,15,20
669,1,0,1,2,5,0,15,20
670,1,0,1,2,5,0,15,20
671,1,0,1,2,5,0,15,20
672,1,0,1,2,5,0,15,20
673,1,0,1,2,5,0,15,20
674,1,0,1,2,5,0,15,20
675,1,0,1,2,5,0,15,20
676,1,0,1,2,5,0,15,20
677,1,0,1,2,5,0,15,20
678,1,0,1,2,5,0,15,20
679,1,0,1,2,5,0,15,20
680,1,0,1,2,5,0,15,20
681,1,0,1,2,5,0,15,20
682,1,0,1,2,5,0,15,20
683,1,0,1,2,5,0,15,20
684,1,0,1,2,5,0,15,20
685,1,0,1,2,5,0,15,20
686,1,0,1,2,5,0,15,20
687,1,0,2,3,5,0,30,35
688,1,0,2,3,5,0,30,35
689,1,0,2,3,5,0,30,35
690,1,0,2,3,5,0,30,35
691,1,0,2,3,5,0,30,35
692,1,0,2,3,5,0,30,35
693,1,0,2,3,5,0,30,35
694,1,0,2,3,5,0,30,35
695,1,0,2,3,5,0,30,35
696,1,0,2,3,5,0,30,35
697,1,0,2,3,5,0,30,35
698,1,0,2,3,5,0,30,35
699,1,0,2,3,5,0,30,35
700,1,0,2,3,5,0,30,35
701,1,0,2,3,5,0,30,35
702,1,0,2,3,5,0,30,35
703,1,0,2,3,5,0,30,35
704,1,0,2,3,5,0,30,35
705,1,0,2,3,5,0,30,35
706,1,0,2,3,5,0,30,35
707,1,0,2,3,5,0,30,35
708,1,0,2,3,5,0,30,35
709,1,0,2,3,5,0,30,35
710,1,0,2,3,5,0,30,35
711,1,0,2,3,5,0,30,35
712,1,0,2,3,5,0,30,35
713,1,0,2,3,5,0,30,35
714,1,0,2,3,5,0,30,35
715,1,0,2,3,5,0,30,35
716,1,0,2,3,5,0,30,35
717,1,0,2,3,5,0,30,35
718,1,0,2,3,5,0,30,35
719,1,0,2,3,5,0,30,35
720,1,0,2,3,5,0,30,35
721,1,0,2,3,5,0,30,35
722,1,0,2,3,5,0,30,35
723,1,0,2,3,5,0,30,35
724,1,0,2,3,5,0,30,35
725,1,0,2,3,5,0,30,35
726,1,0,2,3,5,0,30,35
727,1,0,2,3,5,0,30,35
728,1,0,2,3,5,0,30,35
729,1,0,2,3,5,0,30,35
730,1,0,2,3,5,0,30,35
731,1,0,2,3,5,0,30,35
732,1,0,2,3,5,0,30,35
733,1,0,2,3,5,0,30,35
734,1,0,3,4,5,0,45,50
735,1,0,3,4,5,0,45,50
736,1,0,3,4,5,0,45,50
737,1,0,3,4,5,0,45,50
738,1,0,3,4,5,0,45,50
739,1,0,3,4,5,0,45,50
740,1,0,3,4,5,0,45,50
741,1,0,3,4,5,0,45,50
742,1,0,3,4,5,0,45,50
743,1,0,3,4,5,0,45,50
744,1,0,3,4,5,0,45,50
745,1,0,3,4,5,0,45,50
746,1,0,3,4,5,0,45,50
747,1,0,3,4,5,0,45,50
748,1,0,3,4,5,0,45,50
749,1,0,3,4,5,0,45,50
750,1,0,3,4,5,0,45,50
751,1,0,3,4,5,0,45,50
752,1,0,3,4,5,0,45,50
753,1,0,3,4,5,0,45,50
754,1,0,3,4,5,0,45,50
755,1,0,3,4,5,0,45,50
756,1,0,3,4,5,0,45,50
757,1,0,3,4,5,0,45,50
758,1,0,3,4,5,0,45,50
759,1,0,3,4,5,0,45,50
760,1,0,3,4,5,0,45,50
761,1,0,3,4,5,0,45,50
762,1,0,3,4,5,0,45,50
763,1,0,3,4,5,0,45,50
764,1,0,3,4,5,0,45,50
765,1,0,3,4,5,0,45,50
766,1,0,3,4,5,0,45,50
767,1,0,3,4,5,0,45,50
768,1,0,3,4,5,0,45,50
769,1,0,3,4,5,0,45,50
770,1,0,3,4,5,0,45,50
771,1,0,3,4,5,0,45,50
772,1,0,3,4,5,0,45,50
